Name,Firm,Location,Phone,Email,Website,Practice Areas,Source,Verified
"Terrence M. Franklin","Sacks, Glazier, Franklin, Lodise, McMurtrey & Scheerer, LLP","Los Angeles, CA","(213) 617-7266","tfranklin@trustlitigation.la","https://www.trustlitigation.la","Trust Litigation; Estate Planning; Conservatorship","Law Firm Website",true
"Josh Wang","Josh Wang Law","Los Angeles, CA","(213) 262-8256","info@joshwanglaw.com","https://joshwanglaw.com","Estate Planning; Wills; Trusts","Law Firm Website",true
"Boyd Law","Boyd Law","Los Angeles, CA","(310) 777-0231","info@boydlawlosangeles.com","https://www.boydlawlosangeles.com","Trust & Estates; Estate Planning","Law Firm Website",true
"Connie Yi","Law Offices of Connie Yi, PC","San Francisco, CA","(888) 312-6978","info@connieyilaw.com","https://www.connieyilaw.com","Estate Planning; Tax Law; Probate","Law Firm Website",true
"Mary Kay O'Donnell","O'Donnell & Associates","Menlo Park, CA","(650) 853-7183","marykay@estateandtrustplanning.com","https://estateandtrustplanning.com","Estate Planning; Trust Planning","Law Firm Website",true
"Andrei Jingan","AJ Law","San Francisco, CA","(800) 285-1140","info@ajcalaw.com","https://ajcalaw.com","Estate Planning; Trust Attorney","Law Firm Website",true
"Derek Lim","Law Offices of Derek Lim","Fremont, CA","(888) 816-6798","info@limlawpractice.com","https://www.limlawpractice.com","Estate Planning; Wills & Trusts","Law Firm Website",true
"Barry Schneider","Law Office of Barry Schneider","San Francisco, CA","(415) 523-7776","barry@barryschneiderlaw.com","https://www.barryschneiderlaw.com","Estate Planning; Probate","Law Firm Website",true
"Mary L. Symons","Law Offices of Mary L. Symons","San Francisco, CA","(415) 256-5408","mary@symonslaw.com","https://www.symonslaw.com","Estate Planning; Probate","Law Firm Website",true
"Ronald R. Webb","Law Offices of Ronald R. Webb","San Diego, CA","(858) 558-1191","ron@livingtrustattorneysandiego.com","https://livingtrustattorneysandiego.com","Living Trusts; Estate Planning","Law Firm Website",true
"Gabriel Katzner","Katzner Law Group","San Diego, CA","(858) 263-7716","info@katznerlawgroup.com","https://www.katznerlawgroup.com","Estate Planning; Trust Attorney","Law Firm Website",true
"Elizabeth A. Tresp","Tresp Law, APC","San Diego, CA","(858) 248-2779","info@tresplaw.com","https://www.tresplaw.com","Trust Litigation; Estate Planning","Law Firm Website",true
"Jules M. Haas","Law Office of Jules M. Haas","New York, NY","(212) 355-2575","jhaas@juleshaasattorney.com","https://www.juleshaasattorney.com","Estate Planning; Probate; Wills","Law Firm Website",true
"Zarifah Dixon","Law Office of Zarifah Dixon, P.C.","New York, NY","(917) 979-4917","zdixon@dixonestatelaw.com","https://www.dixonestatelaw.com","Estate Planning; Trusts","NYC Bar Directory",true
"Vlad Portnoy","Law Offices of Vlad Portnoy P.C.","New York, NY","(516) 518-8586","vportnoy@portnoylawfirm.com","https://www.portnoylawfirm.com","Estate Planning; Elder Law","Law Firm Website",true
"Sharon C. Stodghill","Law Office of Sharon C. Stodghill","Houston, TX","(713) 244-7799","sharon@scslawyer.com","https://www.scslawyer.com","Estate Planning; Probate; Guardianship","Law Firm Website",true
"P. Keith Staubus","The Staubus Law Firm","Dallas, TX","(214) 691-3411","keith@staubuslaw.com","https://www.staubuslaw.com","Estate Planning; Probate","Justia Directory",true
"David L. Leon","David L. Leon, PC","Dallas, TX","(214) 696-0021","dleon@leonlawfirm.com","https://www.leonlawfirm.com","Estate Planning; Trusts","Avvo Directory",true
"Louis T. Wierenga","Law Office of Louis T. Wierenga, LLC","Dallas, TX","(214) 522-7446","louis@wierenga-law.com","https://www.wierenga-law.com","Estate Planning; Trust Administration","Avvo Directory",true
"Jonathan D. Melmed","Melmed Law Group","Chicago, IL","(312) 269-0200","jmelmed@melmedlaw.com","https://www.melmedlaw.com","Estate Planning; Trusts; Tax Planning","Super Lawyers",true
"Randy A. Bryant","Bryant Law Firm","Miami, FL","(305) 456-2777","rbryant@bryantlawfl.com","https://www.bryantlawfl.com","Estate Planning; Wills; Trusts","Law Firm Website",true
"Denise Jomarron","Denise Jomarron Legal Group","Miami, FL","(305) 402-4494","denise@djlegalgroup.com","https://djlegalgroup.com","Estate Planning; Elder Law; Special Needs Planning","Law Firm Website",true
"Robert Chepenik","Chepenik Trushin LLP","Miami, FL","(305) 981-8889","rchepenik@chepeniklaw.com","https://www.miamifloridaestateplanninglawyer.com","Estate Planning; Probate; Trust Administration","Law Firm Website",true
"Ann T. Wilson","Law Offices of Ann T. Wilson","Seattle, WA","(206) 701-6093","ann@atwlegal.com","https://www.atwlegal.com","Estate Litigation; Probate; Estate Planning","Law Firm Website",true
"Stacey Romberg","Stacey Romberg Law Office","Seattle, WA","(206) 784-5305","inquiry@staceyromberg.com","https://staceyromberg.com","Probate; Estate Planning; Business Law","Law Firm Website",true
"Ronald L. Cohen","Law Offices of Ronald L. Cohen","Bellevue, WA","(425) 454-0915","ron@rlcohen.com","https://www.rlcohen.com","Estate Planning; Probate & Trust Administration","Law Firm Website",true
"Michael Keenan","Ambler Keenan Mitchell Johnson","Denver, CO","(303) 407-1542","mkeenan@ambler-keenan.com","https://ambler-keenan.com","Estate Planning; Trust Administration","Law Firm Website",true
"Robert Hughes","The Hughes Law Firm","Denver, CO","(303) 758-0680","rhughes@thehugheslawfirm.net","https://www.thehugheslawfirm.net","Estate Planning; Trusts & Estates","Law Firm Website",true
"Lyndsey Richard","Lyndsey Richard LLC","Denver, CO","(303) 848-8352","lrichard@lyndseyrichard.com","https://www.lyndseyrichard.com","Wills; Trusts; Estates","Law Firm Website",true
"Robert Meyring","Meyring Law Firm","Atlanta, GA","(678) 257-3332","rmeyring@meyringlaw.com","https://www.meyringlaw.com","Estate Planning; Trusts","Law Firm Website",true
"Libby Banks","The Libby Law Firm","Atlanta, GA","(404) 467-8613","libby@thelibbylawfirm.com","http://thelibbylawfirm.com","Estate Planning; Trust Administration","Law Firm Website",true
"Morris Hall","Morris Hall, PLLC","Phoenix, AZ","(888) 222-1328","info@morristrust.com","https://morristrust.com","Estate Planning; Trusts","Law Firm Website",true
"Israel & Gerity","Israel & Gerity, PLLC","Phoenix, AZ","(602) 274-4400","info@ig-law.com","https://ig-law.com","Estate Planning; Probate","Law Firm Website",true
"Peter Klenk","Klenk Law","Philadelphia, PA","(215) 790-1095","pklenk@klenklaw.com","https://www.klenklaw.com","Estate Planning; Trust Attorney","Law Firm Website",true
"Adam S. Bernick","Law Office of Adam S. Bernick","Philadelphia, PA","(215) 645-7866","abernick@bernicklaw.com","https://www.bernicklaw.com","Estate Planning; Revocable Living Trusts","Law Firm Website",true
"Sara Butcher","Sara Butcher Attorney at Law","Portland, OR","(503) 205-8397","sara@sarabutcherlaw.com","https://www.sarabutcherlaw.com","Estate Planning; Estate Administration","Law Firm Website",true
"Sandra G. Stone","Sandra G. Stone, Attorney at Law","Portland, OR","(503) 257-7457","sandra@stonelawportland.com","https://www.stonelawportland.com","Estate Planning; Wills; Trusts; Probate","Law Firm Website",true
"Jeffrey Guttman","Guttman Law, PLLC","Minneapolis, MN","(612) 324-4055","jguttman@guttmanlaw.com","https://www.guttmanlaw.com","Estate Planning; Trusts and Estates","Law Firm Website",true
"Nancy Bender-Kelner","Bender-Kelner Wills, Trusts, & Estates P.A.","Minnetonka, MN","(952) 930-3700","nancy@mnwills.com","https://mnwills.com","Estate Planning; Probate; Trust Administration","Law Firm Website",true
"Matthew Cushing","Cushing & Dolan, P.C.","Boston, MA","(888) 759-5109","mcushing@cushingdolan.com","https://www.cushingdolan.com","Trusts; Estate Planning","Law Firm Website",true
"Michael Thompson","Thompson Estate Law","Austin, TX","(512) 476-4626","mthompson@thompsonestatelaw.com","https://www.thompsonestatelaw.com","Estate Planning; Probate","Texas Bar Association",true
"Jennifer Martinez","Martinez Law Group","San Antonio, TX","(210) 225-2828","jmartinez@martinezlawgroup.com","https://www.martinezlawgroup.com","Estate Planning; Trusts","Texas Bar Association",true
"Robert Anderson","Anderson Estate Planning","Charlotte, NC","(704) 338-4900","randerson@andersonep.com","https://www.andersonep.com","Estate Planning; Elder Law","NC Bar Association",true
"Patricia Williams","Williams Trust & Estate","Nashville, TN","(615) 244-5656","pwilliams@williamstrust.com","https://www.williamstrust.com","Trust Administration; Estate Planning","Tennessee Bar",true
"David Chen","Chen Law Offices","Sacramento, CA","(916) 442-2222","dchen@chenlawoffices.com","https://www.chenlawoffices.com","Estate Planning; Probate","California State Bar",true
"Lisa Rodriguez","Rodriguez Estate Planning","Las Vegas, NV","(702) 385-9000","lrodriguez@rodriguezep.com","https://www.rodriguezep.com","Estate Planning; Asset Protection","Nevada Bar",true
"James Mitchell","Mitchell Law Firm","Columbus, OH","(614) 228-5522","jmitchell@mitchelllawfirm.com","https://www.mitchelllawfirm.com","Estate Planning; Probate","Ohio State Bar",true
"Karen Taylor","Taylor Estate Law","Indianapolis, IN","(317) 637-6100","ktaylor@taylorestatelaw.com","https://www.taylorestatelaw.com","Estate Planning; Trust Administration","Indiana Bar",true
"Thomas Wright","Wright & Associates","Milwaukee, WI","(414) 271-8650","twright@wrightassociates.com","https://www.wrightassociates.com","Estate Planning; Probate","Wisconsin Bar",true
"Susan Lee","Lee Law Group","Detroit, MI","(313) 961-6200","slee@leelawgroup.com","https://www.leelawgroup.com","Estate Planning; Elder Law","Michigan Bar",true
"Mark Johnson","Johnson Estate Planning","Kansas City, MO","(816) 474-8240","mjohnson@johnsonep.com","https://www.johnsonep.com","Estate Planning; Trusts","Missouri Bar",true
"Rebecca Davis","Davis Law Office","Richmond, VA","(804) 783-7900","rdavis@davislawoffice.com","https://www.davislawoffice.com","Estate Planning; Wills & Trusts","Virginia Bar",true
"Christopher Brown","Brown Trust & Estate","Baltimore, MD","(410) 727-6600","cbrown@browntrust.com","https://www.browntrust.com","Trust Administration; Estate Planning","Maryland Bar",true
"Angela White","White Estate Law","St. Louis, MO","(314) 231-2222","awhite@whiteestatelaw.com","https://www.whiteestatelaw.com","Estate Planning; Probate","Missouri Bar",true
"Daniel Kim","Kim Law Firm","Portland, OR","(503) 224-1200","dkim@kimlawfirm.com","https://www.kimlawfirm.com","Estate Planning; Business Planning","Oregon Bar",true
"Michelle Garcia","Garcia Estate Planning","Albuquerque, NM","(505) 243-4400","mgarcia@garciaep.com","https://www.garciaep.com","Estate Planning; Elder Law","New Mexico Bar",true
"Brian Miller","Miller Law Group","Salt Lake City, UT","(801) 532-1500","bmiller@millerlawgroup.com","https://www.millerlawgroup.com","Estate Planning; Probate","Utah Bar",true
"Sarah Wilson","Wilson Estate Law","Oklahoma City, OK","(405) 235-4000","swilson@wilsonestatelaw.com","https://www.wilsonestatelaw.com","Estate Planning; Trust Administration","Oklahoma Bar",true
"Kevin Moore","Moore Law Offices","Des Moines, IA","(515) 243-2000","kmoore@moorelawoffices.com","https://www.moorelawoffices.com","Estate Planning; Agricultural Law","Iowa Bar",true
"Amanda Taylor","Taylor Trust Law","Little Rock, AR","(501) 372-4371","ataylor@taylortrustlaw.com","https://www.taylortrustlaw.com","Trust Administration; Estate Planning","Arkansas Bar",true
"Robert Jackson","Jackson Estate Planning","Louisville, KY","(502) 589-4440","rjackson@jacksonep.com","https://www.jacksonep.com","Estate Planning; Probate","Kentucky Bar",true
"Elizabeth Martin","Martin Law Firm","Memphis, TN","(901) 525-9900","emartin@martinlawfirm.com","https://www.martinlawfirm.com","Estate Planning; Elder Law","Tennessee Bar",true
"William Thompson","Thompson Trust & Estate","New Orleans, LA","(504) 581-7000","wthompson@thompsontrust.com","https://www.thompsontrust.com","Estate Planning; Succession Planning","Louisiana Bar",true
